projectName,projectId,category,startDate,endDate
"Akorn, Inc.",PID1,Sales Activity,2014-12-07,2015-05-23
AbbVie Inc.,PID2,Client Project,2017-10-04,2018-01-08
Jafra Cosmetics International Inc,PID3,Sales Activity,2014-01-16,2014-06-24
Walgreen Company,PID4,Client Project,2024-02-17,2024-06-25
"Aphena Pharma Solutions - Tennessee, LLC",PID5,Client Project,2020-06-13,2020-11-02
Sanum Kehlbeck GmbH & Co. KG,PID6,Sales Activity,2021-03-21,2021-10-09
StriVectin Operating Company Inc.,PID7,Client Project,2015-05-28,2015-10-08
"Physicians Total Care, Inc.",PID8,Client Project,2018-08-15,2019-02-23
VersaPharm Incorporated,PID9,Client Project,2015-07-25,2016-01-09
Keen Compressed Gas Co. Inc.,PID10,Sales Activity,2015-01-11,2015-05-29
Homeocare Laboratories,PID11,Client Project,2020-08-05,2020-11-10
"International Labs, Inc.",PID12,BAU Activity,2020-12-03,2021-06-16
STAT Rx USA LLC,PID13,Client Project,2018-06-09,2018-09-18
Cardinal Health,PID14,Sales Activity,2019-12-20,2020-07-10
Mylan Pharmaceuticals Inc.,PID15,Sales Activity,2017-10-16,2018-01-30
Natures Way Holding Co.,PID16,Client Project,2019-01-26,2019-05-31
REMEDYREPACK INC.,PID17,Client Project,2019-07-22,2020-01-07
Apotex Corp,PID18,Client Project,2021-01-02,2021-05-11
REMEDYREPACK INC.,PID19,Sales Activity,2019-02-02,2019-08-16
PUR MINERALS,PID20,Client Project,2015-07-16,2016-02-01
Laboratoires Clarins S.A.,PID21,Sales Activity,2013-10-27,2014-04-12
Zydus Pharmaceuticals (USA) Inc.,PID22,BAU Activity,2022-12-30,2023-05-16
"NCS HealthCare of KY, Inc dba Vangard Labs",PID23,Sales Activity,2021-02-14,2021-07-25
BCM Cosmetique SAS,PID24,Sales Activity,2014-02-14,2014-06-01
"Church & Dwight Co., Inc.",PID25,Client Project,2020-02-15,2020-06-01
VIATREXX BIO INCORPORATED,PID26,Client Project,2018-10-26,2019-02-15
"Amneal Pharmaceuticals of New York, LLC",PID27,Sales Activity,2018-12-26,2019-07-15
AnazaoHealth Corporation,PID28,Sales Activity,2023-12-09,2024-06-20
"Preferred Pharmaceuticals, Inc",PID29,Sales Activity,2014-12-08,2015-04-14
Wal-Mart Stores Inc,PID30,Client Project,2017-03-27,2017-08-16
Sandoz Inc,PID31,Client Project,2016-12-04,2017-03-19
"Ascend Laboratories, LLC",PID32,Client Project,2014-01-02,2014-04-20
GlaxoSmithKline Consumer Healthcare LP,PID33,Client Project,2013-07-23,2014-01-08
Lake Erie Medical DBA Quality Care Products LLC,PID34,Sales Activity,2018-02-02,2018-07-10
"PD-Rx Pharmaceuticals, Inc.",PID35,BAU Activity,2016-11-19,2017-04-27
"Advanced Beauty Systems, Inc.",PID36,Client Project,2022-06-19,2022-10-09
REMEDYREPACK INC.,PID37,Client Project,2020-06-09,2020-11-21
Teva Pharmaceuticals USA Inc,PID38,Client Project,2018-05-29,2018-09-06
Jubilant HollisterStier LLC,PID39,BAU Activity,2017-03-15,2017-07-22
"Hospira, Inc.",PID40,BAU Activity,2019-10-06,2020-01-20
Sandoz Inc,PID41,Client Project,2015-09-05,2016-01-16
Hy-Vee,PID42,Client Project,2018-04-14,2018-09-24
